read_code	icd10_code
G801H	I802
G801J	I802
G801z	I803
G802.	I803
G8020	I803
G80y.	I808
G80y0	I801
G80y1	I801
G80y2	I801
G80y3	I801
G80y4	I801
G80y5	I801
G80y6	I801
G80y7	I801
G80y8	I801
G80y9	I808
G80yz	I808
G80z.	I809
G80z0	I809
G80z1	I809
G80zz	I809
G81..	I81X
G82..	I828
G820.	I820
G821.	I821
G822.	I822
G8220	I822
G823.	I823
G824.	I828
G825.	I828
G826.	I828
G827.	I828
G82y.	I828
G82z.	I829
G82z0	I829
G82z1	I829
G82zz	I829
G83..	I83
G830.	I830
G831.	I831
G832.	I832
G833.	I830
G834.	I839
G8340	I839
G8341	I839
G835.	I832
G836.	I831
G837.	I830
G83z.	I839
G84..	K64
G840.	K648
G841.	K648
G842.	K648
G8420	K648
G8421	K648
G8422	K648
G8423	K648
G8424	K640
G8425	K641
G8426	K642
G8427	K643
G842z	K648
G843.	K648
G844.	K648
G845.	K648
G8450	K648
G8451	K648
G8452	K648
G8453	K648
G845z	K648
G846.	K649
G847.	K648
G848.	K648
G8480	K648
G8481	K648
G8482	K648
G8483	K648
G848z	K648
G849.	K644
G8490	K644
G8491	K644
G849z	K644
G84A.	K645
G84z.	K649
G84z0	K648
G85..	I86
G850.	I850
G851.	I859
G852.	I982A
G8520	I983A
G8521	I982A
G8522	K746D I982A
G8523	K703D I982A
G852z	I982A
G853.	I860
G854.	I861
G855.	I862
G856.	I863
G857.	I864
G858.	I859
G85y.	I868
G85z.	I868
G86..	I890-I899
G860.	I972
G861.	I890
G8610	I890
G8611	I890
G8612	I890
G8613	I890
G8614	I890
G8615	I890
G861z	I890
G862.	I891
G8620	I891
G8621	I891
G86y.	I898
G86y0	I898
G86y1	I898
G86y2	I898
G86y3	I898
G86y4	I898
G86y5	I898
G86y6	I898
G86y7	I898
G86y8	I898
G86y9	I898
G86yA	I898
G86yz	I898
G86z.	I899
G87..	I959
G870.	I951
G871.	I958
G872.	I950
G873.	I952
G87z.	I959
G8X..	I879
G8X0.	I878
G8y0.	R58X
G8y00	R58X+Y848
G8y1.	I870
G8y2.	I871
G8y20	I871
G8y21	I871
G8y22	I871
G8y2z	I871
G8y3.	I878
G8y4.	I870
G8y5.	I871
G8y6.	I871
G8yy0	I872
G8yy1	I878
G8yy2	I878
G8yy3	I878
G8yy4	I878
G8yy5	I878
G8yyz	I99X
G8yz.	I99X
G9...	I709
GA...	I099
GA0..	I099
GB...	H350+R31X
Gy0..	I980A
Gy1..	T828
Gy10.	T828
Gy11.	T828
Gy110	T828
Gy111	T828
Gy2..	T828
Gy20.	T828
Gy21.	T828
Gy22.	T828
Gy3..	T828
Gy30.	T828
Gy31.	T828
Gy32.	T828
Gy4..	T827
Gy40.	T827
Gy41.	T827
Gy42.	T827
Gy5..	T828
Gy50.	T828
Gy51.	T828
Gy52.	T828
Gy6..	T828
Gy60.	T828
Gy61.	T828
Gy62.	T828
Gyu0.	I00-I02
Gyu00	I018
Gyu1.	I05-I09
Gyu10	I058
Gyu11	I068
Gyu12	I078
Gyu13	I088
Gyu14	I098
Gyu15	I089
Gyu2.	I10-I15
Gyu20	I158
Gyu21	I151
Gyu3.	I20-I25
Gyu30	I208
Gyu31	I238
Gyu32	I248
Gyu33	I258
Gyu34	I213
Gyu35	I228
Gyu36	I229
Gyu4.	I26-I28
Gyu40	I278
Gyu41	I288
Gyu5.	I30-I52
Gyu50	I308
Gyu51	I318
Gyu52	I320A
Gyu53	I321A
Gyu54	I328A
Gyu55	I348
Gyu56	I358
Gyu57	I368
Gyu58	I378
Gyu59	I390A
Gyu5a	I498
Gyu5A	I391A
Gyu5b	I518
Gyu5B	I392A
Gyu5c	I520A
Gyu5C	I393A
Gyu5d	I521A
Gyu5D	I394A
Gyu5e	I528A
Gyu5E	I398A
Gyu5f	I369
Gyu5F	I408
Gyu5g	I516
Gyu5G	I409
Gyu5H	I410A
Gyu5J	I411A
Gyu5K	I412A
Gyu5L	I418A
Gyu5M	I422
Gyu5N	I425
Gyu5P	I428
Gyu5Q	I430A
Gyu5R	I431A
Gyu5S	I432A
Gyu5T	I438A
Gyu5U	I443
Gyu5V	I446
Gyu5W	I451
Gyu5X	I455
Gyu5Y	I458
Gyu5Z	I494
Gyu6.	I60-I69
Gyu60	I606
Gyu61	I608
Gyu62	I618
Gyu63	I635
Gyu64	I638
Gyu65	I658
Gyu66	I668
Gyu67	I678
Gyu68	I681A
Gyu69	I682A
Gyu6A	I688A
Gyu6B	I692
Gyu6C	I694
Gyu6D	I698
Gyu6E	I607
Gyu6F	I612
Gyu6G	I632
Gyu7.	I70-I79
Gyu70	I708
Gyu71	I718
Gyu72	I719
Gyu73	I728
Gyu74	I738
Gyu75	I748
Gyu76	I778
Gyu77	I788
Gyu78	I790A
Gyu79	I791A
Gyu7A	I792A
Gyu7B	I798A
Gyu8.	I80-I89
Gyu80	I802
Gyu81	I808
Gyu82	I828
Gyu83	K648
Gyu84	K648
Gyu85	K648
Gyu86	I868
Gyu87	I878
Gyu88	I888
Gyu89	I898
Gyu8A	I879
Gyu9.	I95-I99
Gyu90	I958
Gyu91	I971
Gyu92	I978
Gyu93	I981A
Gyu94	I982A
Gyu95	I988A
Gyu96	I99X
Gz...	I99X
H....	J00-J99
H0...	J00X-J22X
H00..	J00X
H01..	J01
H010.	J010
H011.	J011
H012.	J012
H013.	J013
H014.	J019
H01y.	J018
H01y0	J014
H01yz	J018
H01z.	J019
H02..	J02
H020.	J029
H021.	J029
H022.	J029
H0230	J028+B953
H0231	J028+B958
H023z	J029
H024.	J028
H025.	J029
H02z.	J029
H03..	J03
H030.	J039
H031.	J039
H032.	J039
H033.	J039
H034.	J039
H0350	J038+B953
H0351	J038+B958
H035z	J038
H036.	J039
H037.	J039
H03z.	J039
H04..	J04
H040.	J040
H0400	J040
H0401	J040
H0402	J040
H0403	J040
H0404	J040+B963
H0405	J040+B953
H0406	J040
H040w	J040
H040x	J040
H040z	J040
H041.	J041
H0410	J041
H0411	J041
H041z	J041
H042.	J042
H0420	J042
H0421	J042
H042z	J042
H043.	J051
H0430	J051
H0431	J051
H0432	J050
H043z	J051
H044.	J050
H04z.	J042
H05..	J068
H050.	J060
H051.	J069
H052.	J068
H053.	J068
H054.	J069
H055.	J060
H05y.	J068
H05z.	J069
H06..	J20-J21
H060.	J20
H0600	J209
H0601	J209
H0602	J209
H0603	J209
H0604	J209
H0605	J209
H0606	J208+B953
H0607	J202
H0608	J201
H0609	J208
H060A	J200
H060B	J203
H060C	J204
H060D	J205
H060E	J206
H060F	J207
H060v	J209
H060w	J209
H060x	J208
H060z	J209
H061.	J21
H0610	J219
H0611	J219
H0612	J219
H0613	J219
H0614	J448
H0615	J210
H0616	J218
H0617	J211
H061z	J219
H062.	J22X
H06z.	J20-J21
H06z0	J22X
H06z1	J22X
H06z2	J22X
H07..	J00X
H0z..	J22X
H1...	J30-J39
H10..	J342
H11..	J33
H110.	J330
H1100	J330
H1101	J330
H110z	J330
H111.	J331
H1110	J331
H111z	J331
H11y.	J338
H11y0	J338
H11y1	J338
H11y2	J338
H11y3	J338
H11yz	J338
H11z.	J339
H12..	J31
H120.	J310
H1200	J310
H1201	J310
H1202	J310
H1203	J310
H1204	J00X
H1205	J310
H1206	J310
H1207	J310
H120z	J310
H121.	J312
H1210	J312
H1211	J312
H1212	J312
H1213	J312
H1214	J312
H1215	J312
H1216	J312
H121z	J312
H122.	J311
H12z.	J311
H13..	J32
H130.	J320
H131.	J321
H132.	J322
H133.	J323
H134.	J329
H135.	J329
H13y.	J328
H13y0	J324
H13y1	J324
H13yz	J328
H13z.	J329
H14..	J350-J359
H140.	J350
H141.	J353
H1410	J353
H1411	J351
H1412	J352
H141z	J353
H142.	J358
H143.	J350
H14y.	J358
H14y0	J358
H14y1	J358
H14y2	J358
H14y3	J358
H14y4	J358
H14y5	J358
H14y6	J039
H14y7	J358
H14yz	J358
H14z.	J359
H14z0	J359
H14z1	J359
H15..	J36X
H16..	J371
H160.	J370
H1600	J370
H1601	J370
H1602	J370
H1603	J370
H1604	J370
H1605	J370
H160z	J370
H161.	J371
H16z.	J370
H17..	J30
H170.	J301
H171.	J303
H1710	J303
H1711	J303
H172.	J304
H17z.	J304
H18..	J300
H1y..	J39
H1y0.	J343
H1y1.	J34
H1y10	J340
H1y11	J340
H1y12	J340
H1y13	J341
H1y14	J341
H1y15	J348
H1y16	J348
H1y17	J348
H1y18	J348
H1y19	J348
H1y1A	J340
H1y1B	J348
H1y2.	J392
H1y20	J392
H1y21	J391
H1y22	J390
H1y23	J390
H1y24	J392
H1y25	J392
H1y26	J391
H1y27	J387
H1y28	J392
H1y2z	J392
H1y3.	J380
H1y30	J380
H1y31	J380
H1y32	J380
H1y33	J380
H1y34	J380
H1y35	J380
H1y3z	J380
H1y4.	J381
H1y40	J381
H1y41	J381
H1y4z	J381
H1y5.	J383
H1y50	J383
H1y51	J383
H1y52	J383
H1y53	J383
H1y54	J382
H1y55	J382
H1y56	J382
H1y57	J382
H1y58	J383
H1y59	J383
H1y5A	J383
H1y5B	J382
H1y5C	J382
H1y5x	J382
H1y5z	J383
H1y6.	J384
H1y60	J384
H1y61	J384
H1y62	J384
H1y63	J383
H1y6z	J384
H1y7.	J387
H1y70	J387
H1y71	J387
H1y72	J387
H1y73	J386
H1y74	J385
H1y75	J387
H1y76	J387
H1y77	J387
H1y78	J387
H1y79	J387
H1y7A	J387
H1y7B	J387
H1y7C	J385
H1y7D	J387
H1y7E	J387
H1y7z	J387
H1y8.	J393
H1y9.	J348
H1yz.	J398
H1yz0	J398
H1yz1	J398
H1yz2	J398
H1yzz	J399
H1z..	J399
H2...	J10-J18
H20..	J129
H200.	J120
H201.	J121
H202.	J122
H203.	J123
H20y.	J128
H20y0	U049
H20z.	J129
H21..	J13X
H22..	J158
H220.	J150
H221.	J151
H222.	J14X
H223.	J154
H2230	J153
H224.	J152
H22y.	J158
H22y0	J155
H22y1	J156
H22y2	A481D J170A
H22y3	J156
H22yX	J156
H22yz	J159
H22z.	J159
H23..	J168
H230.	J157
H231.	J157
H232.	J157
H233.	J160
H23z.	J168
H24..	J178A
H240.	B052D J171A
H241.	B250D J171A
H242.	A70XD J178A
H243.	A379D J170A
H244.	A212D J170A
H245.	A221D J170A
H246.	B441D J172A
H247.	J172A
H2470	B371D J172A
H2471	B382D J172A
H2472	B392D J172A
H247z	J172A
H24y.	J178A
H24y0	A420D J170A
H24y1	A430D J170A
H24y2	B59XD J173A
H24y3	A78XD J178A
H24y4	A022D J170A
H24y5	B583D J173A
H24y6	A010D J170A
H24y7	B012D J171A
H24yz	J178A
H24z.	J178A
H25..	J180
H26..	J189
H260.	J181
H2600	J181
H261.	J181
H262.	J189
H263.	J189
H27..	J111
H270.	J110
H2700	J110
H2701	J110
H270z	J110
H271.	J111
H2710	J111
H2711	J111
H271z	J111
H27y.	J118
H27y0	J118D G948A
H27y1	J118
H27yz	J118
H27z.	J111
H28..	J189
H29..	J09X
H2A..	J101
H2B..	J189
H2C..	J189+Y95X
H2D..	J09X
H2E..	J09X
H2F..	J10
H2F0.	J100
H2Fy.	J101
H2Fz.	J108
H2y..	J110
H3...	J40-J47
H30..	J40X
H300.	J40X
H301.	J40X
H302.	J40X
H30z.	J40X
H31..	J42X
H310.	J410
H3100	J410
H3101	J410
H310z	J410
H311.	J411
H3110	J411
H3111	J411
H311z	J411
H312.	J448
H3120	J448
H3121	J448
H3122	J441
H3123	J448
H312z	J448
H313.	J418
H31y.	J42X
H31y0	J42X
H31y1	J42X
H31yz	J42X
H31z.	J42X
H32..	J43
H320.	J439
H3200	J438
H3201	J438
H3202	J438
H3203	J439
H320z	J439
H321.	J431
H322.	J432
H32y.	J438
H32y0	J439
H32y1	J438
H32y2	J430
H32yz	J438
H32z.	J439
H33..	J450-J459
H330.	J450
H3300	J450
H3301	J46X
H330z	J450
H331.	J451
H3310	J451
H3311	J46X
H331z	J451
H332.	J458
H333.	J459
H334.	J459
H335.	J449
H33z.	J459
H33z0	J46X
H33z1	J459
H33z2	J459
H33zz	J459
H34..	J47X
H340.	J47X
H341.	J47X
H34z.	J47X
H35..	J679
H350.	J670
H351.	J671
H352.	J672
H3520	J672
H3521	J672
H352z	J672
H353.	J673
H354.	J674
H355.	J675
H356.	J676
H357.	J677
H35y.	J678
H35y0	J678
H35y1	J678
H35y2	J678
H35y3	J678
H35y4	J678
H35y5	J678
H35y6	J678
H35y7	J678
H35y8	J677
H35yz	J678
H35z.	J679
H35z0	J679
H35z1	J679
H35zz	J679
H36..	J449
H37..	J449
H38..	J449
H39..	J449
H3A..	J449
H3B..	J449
H3y..	J44
H3y0.	J440
H3y1.	J441
H3z..	J449
H4...	J60X-J70
H40..	J60X
H41..	J61X
H410.	J920
H41z.	J61X
H42..	J62
H420.	J620
H421.	J628
H422.	J628
H423.	J628
H42z.	J628
H43..	J638
H430.	J630
H431.	J631
H432.	J632
H433.	J633
H434.	J634
H435.	J635
H43z.	J638
H44..	J668
H440.	J660
H441.	J662
H442.	J661
H44z.	J668
H45..	J64X
H450.	J65X
H46..	J689
H460.	J680
H4600	J680
H4601	J680
H460z	J680
H461.	J681
H462.	J682
H463.	J683
H464.	J684
H4640	J684
H4641	J684
H4642	J684
H464z	J684
H465.	J681
H46z.	J689
H46z0	J688
H46zz	J689
H47..	J698
H470.	J690
H4700	J690
H4701	J690
H4702	J690
H4703	J690
H470z	J690
H471.	J691
H4710	J691
H471z	J691
H472.	O740
H47y.	J698
H47y0	J698
H47yz	J698
H47z.	J698
H48..	J841
H4y..	J708
H4y0.	J700
H4y00	J700
H4y0z	J700
H4y1.	J701
H4y10	J701
H4y1z	J701
H4y2.	J704
H4y20	J702
H4y21	J703
H4yy.	J708
H4yz.	J709
H4z..	J709
H50..	J869
H500.	J860
H5000	J860
H5001	J860
H5002	J860
H5003	J860
H5004	J860
H5005	J860
H500z	J860
H501.	J869
H5010	J869
H5011	J869
H5012	J869
H5013	J869
H5014	J869
H5015	J869
H5016	J869
H501z	J869
H50z.	J869
H51..	R091
H510.	R091
H5100	J948
H5101	J929
H5102	J948
H5103	R091
H5104	R091
H5105	R091
H5106	R091
H5107	R091
H5108	R091
H5109	J90X
H510A	J869
H510B	J90X
H510C	J929
H510z	R091
H511.	J90X
H5110	J90X
H5111	J90X
H5112	J90X
H511z	J90X
H51y.	J90X
H51y0	J948
H51y1	J942
H51y2	J942
H51y3	J948
H51y4	J948
H51y5	J940
H51y6	J941
H51y7	C782
H51yz	J90X
H51z.	J90X
H51z0	J90X
H51z1	J90X
H51z2	J90X
H51zz	J90X
H52..	J939
H520.	J930
H52y.	J931
H52y0	J938
H52y1	J938
H52yz	J931
H52z.	J939
H53..	J85
H530.	J852
H5300	J852
H5301	J852
H5302	J850
H5303	J851
H530z	J852
H531.	J853
H53z.	J85
H54..	J81X
H540.	J81X
H5400	J182
H5401	J182
H540z	J81X
H541.	J81X
H5410	J81X
H541z	J81X
H54z.	J81X
H55..	J841
H56..	J840
H560.	J840
H561.	E831D
H562.	J840
H563.	J841
H5630	J841
H5631	J841
H5632	J841
H5633	J841
H563z	J841
H564.	J848
H56y.	J840
H56y0	J848
H56y1	J849
H56yz	J840
H56z.	J840
H57..	J998A
H570.	M051D J990A
H571.	I00XD J178A
H572.	M348D J991A
H57y.	J998A
H57y0	E854D J991A
H57y1	M332D J991A
H57y2	D860
H57y3	M350D J991A
H57y4	M321D J991A
H57y5	A527D J998A
H57yz	J998A
H58..	J984
H580.	J981
H5800	J981
H581.	J982
H582.	J983
H583.	J82X
H5830	J82X
H5831	J82X
H5832	J82X
H583z	J82X
H584.	J81X
H5840	J81X
H584z	J81X
H5850	J80X
H5851	J952
H5852	J80X
H5853	J80X
H585z	J80X
H58y.	J980-J984
H58y0	J980
H58y1	J984
H58y2	J984
H58y3	J848
H58y4	J984
H58y5	J848
H58y6	M358D J991A
H58y7	M358D J991A
H58yz	J984
H58z.	J984
H59..	J969
H590.	J960
H591.	J961
H592.	J961
H593.	J961
H5B..	G473
H5B0.	G473
H5C..	J988
H5X..	J949
H5y..	J988
H5y0.	J950
H5y00	J950
H5y01	J950
H5y02	J950
H5y03	J950
H5y04	J950
H5y0z	J950
H5y1.	J980
H5y10	J398
H5y11	J980
H5y12	J398
H5y13	J980
H5y14	J398
H5y15	J980
H5y16	J980
H5y1z	J980
H5y2.	J985
H5y3.	J985
H5y30	J985
H5y31	J985
H5y32	J985
H5y3z	J985
H5y4.	J986
H5y40	J986
H5y41	J986
H5y42	J986
H5y4z	J986
H5yy.	J988
H5yz.	J989
H5z..	J989
Hy...	J989
Hy0..	J95
Hy00.	J951
Hy01.	J952
Hy02.	J953
Hy03.	J955
Hy04.	J958
Hyu0.	J00-J06
Hyu00	J018
Hyu01	J028
Hyu02	J038
Hyu03	J068
Hyu04	J101
Hyu05	J118
Hyu06	J111
Hyu07	J118
Hyu08	J128
Hyu09	J156
Hyu0A	J158
Hyu0B	J168
Hyu0C	J170A
Hyu0D	J171A
Hyu0E	J172A
Hyu0F	J173A
Hyu0G	J178A
Hyu0H	J188
Hyu1.	J20-J22
Hyu10	J208
Hyu11	J218
Hyu2.	J30-J39
Hyu20	J302
Hyu21	J303
Hyu22	J328
Hyu23	J338
Hyu24	J348
Hyu25	J358
Hyu26	J383
Hyu27	J387
Hyu28	J391
Hyu29	J392
Hyu2A	J398
Hyu3.	J40-J47
Hyu30	J438
Hyu31	J448
Hyu4.	J60-J70
Hyu40	J628
Hyu41	J638
Hyu42	J668
Hyu43	J678
Hyu44	J682
Hyu45	J683
Hyu46	J688
Hyu47	J698
Hyu48	J701
Hyu49	J708
Hyu4A	J709
Hyu5.	J80-J84
Hyu50	J841
Hyu51	J848
Hyu6.	J85-J86
Hyu7.	J90-J94
Hyu70	J91XA
Hyu71	J931
Hyu72	J938
Hyu73	J948
Hyu74	J949
Hyu8.	J95-J99
Hyu80	J958
Hyu81	J984
Hyu82	J988
Hyu83	J991A
Hyu84	J998A
Hz...	J00X-J99
J....	K00-K93
J0...	K00-K14
J00..	K00-K01
J000.	K000
J0000	K000
J0001	K000
J0002	K000
J0003	K000
J0004	K000
J0005	K000
J000z	K000
J001.	K001
J0010	K001
J0011	K001
J0012	K001
J0013	K001
J001z	K001
J002.	K002
J003.	K003
J0030	K003
J0031	K003
J003z	K003
J004.	K004
J0040	K004
J0041	K004
J0042	K004
J0043	K004
J0044	K004
J0045	K004
J0046	K004
J0047	K004
J0048	K004
J0049	K004
J004z	K004
J005.	K005
J0050	K005
J0051	K005
J0052	K005
J0053	K005
J0054	K005
J005z	K005
J006.	K006
J0060	K006
J0061	K006
J0062	K006
J0063	K006
J0064	K006
J006z	K006
J007.	K007
J00y.	K008
J00y0	K008
J00yz	K009
J00z.	K009
J01..	K02-K03
J010.	K029
J0100	K023
J0101	K022
J0102	K021
J0103	K021
J0104	K021
J0105	K020
J0106	K020
J0107	K020
J0108	K020
J0109	K024
J010A	K024
J010B	K020
J010C	K025
J010z	K029
J011.	K030
J0110	K030
J0111	K030
J011z	K030
J012.	K031
J0120	K031
J0121	K031
J0122	K031
J0123	K031
J0124	K031
J0125	K031
J012z	K031
J013.	K032
J0130	K032
J0131	K032
J0132	K032
J0133	K032
J013z	K032
J014.	K033
J0140	K033
J0141	K033
J014z	K033
J015.	K034
J016.	K035
J017.	K037
J0170	K037
J0171	K037
J0172	K037
J017z	K037
J01y.	K038
J01y0	K038
J01y1	K038
J01yz	K038
J01z.	K039
J02..	K04
J020.	K040
J0200	K040
J0201	K040
J0202	K040
J0203	K040
J0204	K040
J0205	K040
J0206	K040
J020z	K040
J021.	K041
J0210	K041
J0211	K041
J021z	K041
J022.	K042
J0220	K042
J022z	K042
J023.	K043
J0230	K043
J023z	K043
J024.	K044
J025.	K047
J0250	K047
J0251	K047
J025z	K047
J026.	K045
J0260	K045
J0261	K045
J026z	K045
J027.	K046
J0270	K046
J0271	K046
J027z	K046
J028.	K048
J0280	K048
J0281	K048
J0282	K048
J0283	K048
J028z	K048
J02z.	K049
J03..	K05
J030.	K050
J031.	K051
J0310	K051
J0311	K051
J0312	K051
J0313	K051
J0314	K051
J031z	K051
J032.	K060
J0320	K060
J0321	K060
J0322	K060
J0323	K060
J032z	K060
J033.	K052
J0330	K052
J0331	K052
J0332	K052
J0333	K052
J033z	K052
J034.	K053
J0340	K053
J0341	K053
J0342	K053
J0343	K053
J0344	K053
J034z	K053
J035.	K054
J036.	K036
J0360	K036
J0361	K036
J0362	K036
J0363	K036
J0364	K036
J036z	K036
J03X.	K069
J03y.	K055
J03y0	K068
J03y1	K068
J03y2	K090
J03y3	K061
J03y4	K061
J03y5	K068
J03y6	K055
J03y7	K062
J03y8	K061
J03y9	K047
J03yz	K055
J03z.	K056
J04..	K07
J040.	K070
J0400	K070
J0401	K070
J0402	K070
J0403	K070
J0404	K070
J0405	K070
J0406	K070
J0407	K070
J0408	K070
J0409	K070
J040A	K070
J040B	K070
J040z	K070
J041.	K071
J0410	K071
J0411	K071
J0412	K071
J0413	K071
J0414	K071
J0415	K071
J041z	K071
J042.	K072
J0420	K072
J0421	K072
J0422	K072
J0423	K072
J0424	K072
J0425	K072
J0426	K072
J0427	K072
J0428	K072
J0429	K072
J042A	K072
J042B	K072
J042C	K072
J042D	K072
J042E	K072
J042F	K072
J042G	K072
J042H	K072
J042J	K072
J042K	K072
J042L	K072
J042M	K072
J042z	K072
J043.	K073
J0430	K073
J0431	K073
J0432	K073
J0433	K073
J0434	K073
J0435	K073
J0436	K073
J0437	K073
J0438	K011
J0439	K011
J043A	K011
J043B	K011
J043C	K011
J043D	K011
J043E	K010
J043F	K011
J043z	K073
J044.	K074
J045.	K075
J0450	K075
J0451	K075
J0452	K075
J0453	K075
J0454	K075
J0455	K075
J045z	K075
J046.	K076
J0460	K076
J0461	K076
J0462	K076
J0463	K076
J0464	K076
J0465	K076
J046z	K076
J04y.	K078
J04z.	K079
J05..	K08
J050.	K080
J051.	K081
J0510	K081
J0511	K081
J0512	K081
J051z	K081
J052.	K082
J053.	K083
J054.	K122
J05y.	K088
J05y0	K088
J05y1	K088
J05yz	K088
J05z.	K089
J06..	K09-K10
J060.	K090
J0600	K098
J0601	K090
J0602	K090
J0603	K090
J060z	K090
J061.	K091
J0610	K091
J0611	K091
J0612	K091
J0613	K091
J061z	K091
J062.	K092
J0620	K092
J0621	K092
J0622	K092
J062z	K092
J063.	K101
J064.	K102
J0640	K102
J0641	K102
J0642	K102
J0643	K102
J0644	K102
J0645	K102
J0646	K102
J0647	K102
J064z	K102
J065.	K103
J0650	K103
J0651	K103
J065z	K103
J06y.	K108
J06y0	K100
J06y1	K108
J06y2	K100
J06y3	K108
J06y4	K108
J06y5	K100
J06y6	K102
J06y7	K108
J06y8	K108
J06yz	K108
J06z.	K109
J07..	K11
J070.	K110
J0700	K110
J0701	K110
J0702	K110
J070z	K110
J071.	K111
J0710	K111
J0711	K111
J0712	K111
J071z	K111
J072.	K112
J0720	K112
J0721	K112
J0722	K112
J0723	K112
J0724	K112
J0725	K112
J0726	K112
J0727	K112
J072z	K112
J073.	K113
J0730	K113
J0731	K113
J0732	K113
J073z	K113
J074.	K114
J0740	K114
J0741	K114
J0742	K114
J074z	K114
J075.	K115
J0750	K115
J0751	K115
J0752	K115
J0753	K115
J0754	K115
J0755	K115
J0756	K115
J075z	K115
J076.	K116
J0760	K116
J0761	K116
J0762	K116
J0763	K116
J0764	K116
J076z	K116
J077.	K117
J0770	K117
J0771	K117
J0772	K117
J077z	K117
J07y.	K118
J07y0	K118
J07y1	K118
J07y2	K118
J07y3	K118
J07y4	K118
J07y5	K118
J07y6	K118
J07y7	K118
J07y8	K118
J07y9	K118
J07yz	K118
J07z.	K119
J08..	K12
J080.	K121
J0800	K121
J0801	K121
J080z	K121
J081.	A690
J082.	K120
J0820	K120
J0821	K120
J0822	K120
J0823	K120
J0824	K120
J0825	K120
J082z	K120
J083.	K122
J0830	K122
J0831	K122
J0832	K122
J0833	K122
J0834	K122
J0835	J320
J0836	K122
J083z	K122
J084.	K099
J0840	K098
J0841	K098
J0842	K098
J0843	K098
J0844	K098
J084z	K099
J085.	K130
J0850	K130
J0851	K130
J0852	K130
J0853	K130
J0854	K130
J0855	K130
J0856	K130
J0857	K130
J0858	K130
J0859	K130
J085A	K130
J085D	K130
J085E	K130
J085F	K130
J085z	K130
J086.	K132
J0860	K132
J0861	K132
J0862	K132
J0863	K132
J0864	K133
J086z	K132
J087.	K132
J0870	K132
J0871	K132
J0872	K132
J0873	K132
J0874	K132
J087z	K132
J088.	K135
J08z.	K137
J08z0	K131
J08z1	K131
J08z2	K121
J08z3	K137
J08z4	K136
J08z5	K134
J08z6	K136
J08z7	K134
J08z8	K121
J08z9	K508
J08zA	K137
J08zB	K134
J08zC	K137
J08zD	K137
J08zE	K123
J08zF	K123
J08zz	K137
J09..	K14
J090.	K140
J0900	K140
J0901	K140
J090z	K140
J091.	K141
J092.	K142
J093.	K143
J0930	K143
J0931	K143
J093z	K143
J094.	K144
J0940	K144
J0941	D510
J0942	K140
J094z	K144
J095.	K145
J096.	K146
J09y.	K148
J09y0	K148
J09y1	K148
J09y2	K148
J09y3	K148
J09y4	K148
J09y5	K148
J09yz	K148
J09z.	K149
J0y..	K929
J0z..	K929
J1...	K20-K31
J10..	K20X-K23
J100.	K220
J1000	K231A
J101.	K20X
J1010	K20X
J1011	K210
J1012	K20X
J1013	K20X
J1014	K20X
J1015	K20X
J1016	K221
J1017	K20X+D721
J101y	K20X
J101z	K20X
J102.	K221
J1020	K221
J1021	K221
J1022	K221+Y451
J1023	K221
J1024	K221
J1025	K221
J102z	K221
J103.	K222
J1030	K222
J1031	K222
J1032	Q394
J1033	K222
J1034	K222
J103z	K222
J104.	K223
J105.	K224
J1050	K224
J106.	K225
J1060	K225
J1061	K225
J1062	K225
J1063	K225
J1064	K225
J1065	K225
J106z	K225
J107.	K226
J108.	K226
J10y.	K228
J10y0	K228
J10y1	K228
J10y2	J860
J10y3	K221
J10y4	K219
J10y5	K228
J10y6	K227
J10y7	K223
J10y8	K223
J10yz	K228
J10z.	K229
J11..	K25
J110.	K253
J1100	K253
J1101	K250
J1102	K251
J1103	K252
J1104	K253
J110y	K253
J110z	K253
J111.	K257
J1110	K257
J1111	K254
J1112	K255
J1113	K256
J1114	K257
J111y	K257
J111z	K257
J112.	K25
J112z	K259
J113.	K25
J113z	K259
J11y.	K259
J11y0	K259
J11y1	K254
J11y2	K255
J11y3	K256
J11y4	K259
J11yy	K259
J11yz	K259
J11z.	K259
J12..	K26
J120.	K263
J1200	K263
J1201	K260
J1202	K261
J1203	K262
J1204	K263
J120y	K263
J120z	K263
J121.	K267
J1210	K267
J1211	K264
J1212	K265
J1213	K266
J1214	K267
J121y	K267
J121z	K267
J122.	K260-K269
J123.	K269
J124.	K269
J125.	K26
J125z	K269
J126.	K26
J126z	K269
J12y.	K264-K269
J12y0	K269
J12y1	K264
J12y2	K265
J12y3	K266
J12y4	K269
J12yy	K269
J12yz	K269
J12z.	K269
J13..	K279
J130.	K273
J1300	K273
J1301	K270
J1302	K271
J1303	K272
J1304	K273
J130y	K273
J130z	K273
J131.	K277
J1310	K277
J1311	K274
J1312	K275
J1313	K276
J1314	K277
J131y	K277
J131z	K277
J13y.	K279
J13y0	K279
J13y1	K274
J13y2	K275
J13y3	K276
J13y4	K279
J13yy	K279
J13yz	K279
J13z.	K279
J14..	K28
J140.	K283
J1400	K283
J1401	K280
J1402	K281
J1403	K282
J1404	K283
J140y	K283
J140z	K283
J141.	K287
J1410	K287
J1411	K284
J1412	K285
J1413	K286
J1414	K287
J141y	K289
J141z	K289
J14y.	K289
J14y0	K289
J14y1	K284
J14y2	K285
J14y3	K286
J14y4	K289
